t,Actual Position,Actual Velocity
0.016073942184448242,1427,0
0.03194904327392578,1430,1
0.04797983169555664,1439,5
0.06394791603088379,1453,13
0.08000779151916504,1470,26
0.09600996971130371,1490,41
0.11190176010131836,1513,56
0.12797307968139648,1539,70
0.1441500186920166,1571,84
0.16009092330932617,1604,97
0.17622804641723633,1641,111
0.1924898624420166,1681,125
0.20807480812072754,1726,139
0.22408103942871094,1772,150
0.2400810718536377,1820,162
0.2559478282928467,1867,173
0.2720489501953125,1915,181
0.288010835647583,1964,187
0.3040039539337158,2012,189
0.32010698318481445,2060,190
0.3361070156097412,2108,190
0.3520529270172119,2156,191
0.3680119514465332,2204,191
0.3840649127960205,2253,191
0.40021705627441406,2300,191
0.41605281829833984,2349,191
0.43207478523254395,2397,191
0.4480929374694824,2446,191
0.46402597427368164,2493,191
0.4800539016723633,2541,191
0.49600887298583984,2589,191
0.5118989944458008,2637,191
